Đà Nẵng,325
Quảng Nam,86
TP. Hồ Chí Minh,8
Hà Nội,7
Quảng Trị,7
Bắc Giang,6
Quảng Ngãi,5
Hải Dương ,4
Lạng Sơn,4
Đắk Lắk,3
Đồng Nai,2
Hà Nam,1
Khánh Hòa,1
Thái Bình,1
Thanh Hóa,1
